model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,train_f1,f1_std
Baseline Dummy Classifier,0.6292323340111868,0.0,0.0,0.0,0.5,0.0,0.0
Decision Tree,0.8474839249019022,0.7906755295263561,0.800616308662429,0.7956057375556354,0.8393329819098577,0.995244739451234,0.0024964838025714393
Random Forest,0.885180421435716,0.8890821079293175,0.7887664571882733,0.835902388641313,0.9527157698007572,0.9952690559136397,0.0017950437113525763
